division_name,block_name,panchayat_name,total_rakba_in_hectares,total_jamarashi_in_lakh_rupees,jalkars_located_in_multiple_panchayat,district_name,jalkar_name
Koshi,Nauhatta,Kashimpur,35.22267206,0.06,"Hati,Kashimpur,Sahpur,Mohanpur,Chandrayan,Muradpur",Sarhasa,Dumra Jalnissaran Nala
Koshi,Nauhatta,Mohanpur,43.72469636,0.03,"Mohanpur,Chandrayan",Sarhasa,Koshi Nala Mohanpur Se Uttar
Koshi,Salkhua,Gordah,27.04519005,6.9,"Alani,Samhar Khurd",Sarhasa,Gordah Jalkar Evam Part Lagjora Jalkar
Koshi,sonbarsa,Dehad,0.565490337,0.0336,"Dehad,Sahsaul",Sarhasa,Behta Main Ghar Se Sheetkamaldah Tak Drainage
Koshi,sonbarsa,Dehad,19.12955466,0.0462,"Dehad,sonbarsa Nagar Panchayat",Sarhasa,Kajra Nala Jalkar
Koshi,sonbarsa,Atalkha,2.105263158,0.04935,"Baraith,Atalkha",Sarhasa,Jemhra Ghat Se Bareith Jalkar
Koshi,sonbarsa,Pararia,0.131128194,0.0462,"Dehad,sonbarsa Nagar Panchayat",Sarhasa,Mainadhar Se Soha Siman Jalkar
Darbhanga,Khanpur,Bishanpur,10.0,0.194,Sadipur,Samastipur,Bagmati Nadi Sector (Kha)
Tirhut,Purnahiya,Adauri,0.47,0.0297,Bakhar Chandiha,Sheohar,Adauri Bagmati Dhar
Tirhut,Sursand,Radhaur,2.0,0.09,Pathanpura,Sitamarhi,Makunhiya Garaiba Pokhar
Koshi,Basantpur,Banaili Patti,30.8,0.2,"Basantpur,Hirday Nagar,Parmannd Pur",Supaul,Koshikapur Jalkar
Koshi,Basantpur,Basantpur,32.0,0.145,Hirday Nagar,Supaul,Dighhi Jalkar
Koshi,Basantpur,Din Bandhi,122.0,0.293,"Basantpur,Bhim Nagar,Nirmali",Supaul,Kateya Kalyanpur Jalkar
Koshi,Basantpur,Hirday Nagar,34.04,0.27,Koch Gama,Supaul,Sitapur Jalkar
Koshi,Kishanpur,Naua Bakhar,0.2,0.06,"Bouraha,Maujha",Supaul,Nauwa Bakhar Jalkar
Koshi,Marauna,Sisawni,300.0,0.0,"Berhara,Ganaura,Ghoghardiha",Supaul,Kachhua Mahal Marauna
Koshi,Nirmali,Dagmara,37.5,0.032,"Dagmara,Kamalpur",Supaul,Tilyuga Nadi Jalkar
Koshi,Pratapganj,Takuna,46.0,0.13,Bauraha,Supaul,Dharmdhat Dhar
Koshi,Raghopur,Davipur,45.0,0.1164,Dumri,Supaul,Virdah Dhar
Koshi,Saraigarh Bhaptiyahi,Murlai,45.0,0.03,Lalgang Bagava Tengraha,Supaul,Dhadhar Jalkar
Koshi,Triveniganj,Aurlaha,1.04,0.0338,Guria,Supaul,Karnpatti Jalkar
Koshi,Triveniganj,Barah Kurwa,0.884,0.025,Mirjawa,Supaul,Satgandi Jalkar
Koshi,Triveniganj,Jadiya,105.0,0.025,Piluwaha,Supaul,Jadiya Jalkar
Tirhut,Bidupur,Rahimapur,1.2,0.03225,Kanchanpur,Vaishali,Rahimapur Pokhar
Tirhut,Desri,Dharampur Ramrai,7.92,0.03525,Desri,Vaishali,Ghaghra Nadi Kaila Se Kichni
Tirhut,Desri,Dharampur Ramrai,2.0,0.02025,Jahangirpur Sam,Vaishali,Dharmapur Ramras Hajmir Chak Se Fatehpur Maghaul Harpur Chak Tak
Tirhut,Desri,Jahangirpur Sam,3.77,0.0315,Dharampur Ramrai,Vaishali,Dharmapur Jahangir Sham Nala
Tirhut,Desri,Zafarabad,1.0,0.00825,Desri,Vaishali,Vishunpur Ijra Nala
Tirhut,Mahua,Rasulpur Urf Madhaul,1.4,0.0153,Bhadwas,Vaishali,Madhoul Banam Rasulpur Nala
Tirhut,Narkatiaganj,Bheriharwa,12.1,0.1485,Bhasurari,Pashchim Champaran,Bhediharwa Jalkar
Patna,Dumraon,Dumraon Nagar Parishad,6.0,0.0828,"Chilhari,Dumraon Nagar Parishad",Buxar,Bhaishahi Nadi Purana Bhojpur
Patna,Itadhi,Itadhi Nagar Panchayat,4.0,0.01518,"Atrauna,Itadhi Nagar Panchayat",Buxar,Sikatouna Nadi
Patna,Arrah/Ara,Arrah/Ara Nagar Nigam,1.226720648,0.214704,"Sundarpur Barja,Majuli,Daulatpur,Bhakura",Bhojpur,Gangi Nadi
Patna,Bhabua,Bhabua Nagar Parishad,2.5,0.01728,"Dumdum,Kohari,Sion,Bhabua Nagar Parishad",Kaimur(Bhabua),Suara Nadi Machhiayav Se Pipariya Tak
Patna,Bhabua,Bhabua Nagar Parishad,6.25,0.0216,"Dumdum,Kohari,Sion,Bhabua Nagar Parishad",Kaimur(Bhabua),Suara Nadi Palka Se Machhiayav Tak
Koshi,Simri Bakhtiyarpur,Simri Bakhtiyarpur Nagar Parishad,20.48878034,4.25,"Taryama,Bhatoni",Sarhasa,Gordah Jalkar Evam Part Tilabe Tulsiyahi Bhatouni Simri Bhag
